Species Number,Alpha Code,Common Name,Scientific Name,T & E
5331,COCA,Common Canary,Serinus canaria,
5332,YFCA,Yellow-fronted Canary,Crithagra mozambica,
5340,SNBU,Snow Bunting,Plectrophenax nivalis,
5350,MKBU,McKay's Bunting,Plectrophenax hyperboreus,
5351,RUBU,Rustic Bunting,Emberiza rustica,
5352,LIBU,Little Bunting,Emberiza pusilla,
5353,GRBU,Gray Bunting,Emberiza variabilis,
5354,PALB,Pallas's Bunting,Emberiza pallasi,
5355,REBU,Reed Bunting,Emberiza schoeniclus,
5360,LALO,Lapland Longspur,Calcarius lapponicus,
5370,SMLO,Smith's Longspur,Calcarius pictus,
5380,CCLO,Chestnut-collared Longspur,Calcarius ornatus,
5390,MCLO,McCown's Longspur,Rhynchophanes mccownii,
5400,VESP,Vesper Sparrow,Pooecetes gramineus,
5410,IPSP,Ipswich Sparrow,Passerculus sandwichensis princeps,
5420,SAVS,Savannah Sparrow,Passerculus sandwichensis,
5430,BSSP,Belding's Savannah Sparrow,Passerculus sandwichensis beldingi,
5440,LBSP,Large-billed Sparrow,Passerculus sandwichensis rostratus,
5450,BAIS,Baird's Sparrow,Centronyx bairdii,
5460,GRSP,Grasshopper Sparrow,Ammodramus savannarum,
5464,FGSP,Florida Grasshopper Sparrow,Ammodramus savannarum floridanus,Y
5470,HESP,Henslow's Sparrow,Ammodramus henslowii,
5480,LCSP,LeConte's Sparrow,Ammodramus leconteii,
5490,SALS,Saltmarsh Sparrow,Ammodramus caudacuta,
5491,NESP,Nelson's Sparrow,Ammospiza nelsoni,
5499,STSP,Unidentified Sharp-tailed Sparrow,,
5500,SESP,Seaside Sparrow,Ammodramus maritima,
5510,DSSP,Dusky Seaside Sparrow,Ammodramus maritima nigrescens,
5511,CSSS,Cape Sable Seaside Sparrow,Ammodramus maritimus mirabilis,Y
5520,LASP,Lark Sparrow,Chondestes grammacus,
5530,HASP,Harris's Sparrow,Zonotrichia querula,
5540,WCSP,White-crowned Sparrow,Zonotrichia leucophrys,
5541,EWCS,Eastern White-crowned Sparrow,Zonotrichia leucophrys leucophrys,
5546,MWCS,Mountain White-crowned Sparrow,Zonotrichia leucophrys oriantha,
5547,PSWS,Puget Sound White-crowned Sparrow,Zonotrichia leucophrys pugetensis,
5550,GWCS,Gambel's White-crowned Sparrow,Zonotrichia leucophrys gambelii,
5560,NWCS,Nuttall's White-crowned Sparrow,Zonotrichia leucophrys nuttalli,
5570,GCSP,Golden-crowned Sparrow,Zonotrichia atricapilla,
5580,WTSP,White-throated Sparrow,Zonotrichia albicollis,
5581,RUFS,Rufous-collared Sparrow,Zonotrichia capensis,
5586,ZSHY,Zonotrichia Sparrow Hybrid,,
5590,ATSP,American Tree Sparrow,Spizelloides arborea,
5600,CHSP,Chipping Sparrow,Spizella passerina,
5610,CCSP,Clay-colored Sparrow,Spizella pallida,
5620,BRSP,Brewer's Sparrow,Spizella breweri,
5630,FISP,Field Sparrow,Spizella pusilla,
5640,WOSP,Worthen's Sparrow,Spizella wortheni,
5650,BCSP,Black-chinned Sparrow,Spizella atrogularis,
5660,WWJU,White-winged Junco,Junco hyemalis aikeni,
5670,SCJU,Slate-colored Junco,Junco hyemalis hyemalis,
5671,ORJU,Oregon Junco,Junco hyemalis oreganus,
5677,UDEJ,Unidentified Dark-eyed Junco,Junco hyemalis,
5690,GHJU,Gray-headed Junco,Junco hyemalis caniceps,
5700,YEJU,Yellow-eyed Junco,Junco phaeonotus,
5730,BTSP,Black-throated Sparrow,Amphispiza bilineata,
5740,USSP,Unspecified Sage Sparrow,,
5741,SCBS,San Clemente Bell's Sparrow,Artemisiospiza belli clementeae,Y
5742,FSSP,Five-striped Sparrow,Amphispiza quinquestriata,
5743,SBSP,Sagebrush Sparrow,Artemisiospiza nevadensis,
5744,BESP,Bell's Sparrow,Artemisiospiza belli,
5750,BACS,Bachman's Sparrow,Peucaea aestivalis,
5760,BOSP,Botteri's Sparrow,Peucaea botterii,
5780,CASP,Cassin's Sparrow,Peucaea cassinii,
5790,RWSP,Rufous-winged Sparrow,Peucaea carpalis,
5800,RCSP,Rufous-crowned Sparrow,Aimophila ruficeps,
5810,SOSP,Song Sparrow,Melospiza melodia,
5830,LISP,Lincoln's Sparrow,Melospiza lincolnii,
5840,SWSP,Swamp Sparrow,Melospiza georgiana,
5850,FOSP,Fox Sparrow,Passerella iliaca,
5860,OLSP,Olive Sparrow,Arremonops rufivirgatus,
5861,SAFI,Saffron Finch,Sicalis flaveola,
5870,EATO,Eastern Towhee,Pipilo erythrophthalmus,
