scientific.name,original_scientific,genus,species,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,maximum_longevity_y,weaning_d,incubation_d,fledging_age_d,longevity_y,male_maturity_d
Blarina carolinensis,,Blarina,carolinensis,67.26356,4.12,3,2.75,21.91392,-999,-999,2.370833333,65
Dumetella carolinensis,,Dumetella,carolinensis,365,3.875,2,17.91666667,-999,13.1,11.7,10.91666667,365
Sciurus carolinensis,,Sciurus,carolinensis,337.88,3,2,24,66,-999,-999,23.58333333,401
Anas carolinensis,,Anas,carolinensis,271.734,9.5,1,27.1,-999,22,39,20.5,180
Sitta carolinensis,,Sitta,carolinensis,364.234,8,1,9.834,-999,12,14.5,9.833333333,365
Poecile carolinensis,,Poecile,carolinensis,364.234,6,1,10.91666667,-999,13,16.7,10.9,365
Conuropsis carolinensis,,Conuropsis,carolinensis,365.25,2.5,1,30,-999,22,18.5,30,365.25
Antrostomus carolinensis,,Antrostomus,carolinensis,-999,2,1,14.83333333,-999,20,17,14.83,-999
Melanerpes carolinus,,Melanerpes,carolinus,365,4.47,1.5,20.7,-999,12,25,12.1,365
Euphagus carolinus,,Euphagus,carolinus,365,4.5,1,8.8,-999,14,13.5,8.8,365
Peucaea carpalis,,Peucaea,carpalis,-999,4,-999,-999,-999,-999,-999,-999,-999
Bradypterus carpalis,,Bradypterus,carpalis,-999,-999,-999,-999,-999,-999,-999,-999,-999
Lerista carpentariae,,Lerista,carpentariae,-999,-999,-999,-999,-999,-999,-999,-999,-999
