Binomial,scientific.name,original.scientific,TrophicLevel,TrophicNiche,ForagingNiche
Cercomacra_brasiliana,Cercomacra brasiliana,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_carbonaria,Cercomacra carbonaria,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_cinerascens,Cercomacra cinerascens,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_ferdinandi,Cercomacra ferdinandi,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_laeta,Cercomacra laeta,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_manu,Cercomacra manu,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_melanaria,Cercomacra melanaria,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_nigrescens,Cercomacra nigrescens,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_nigricans,Cercomacra nigricans,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_parkeri,Cercomacra parkeri,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_serva,Cercomacra serva,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomacra_tyrannina,Cercomacra tyrannina,,Carnivore,Invertivore,Invertivore glean arboreal
Cercomela_dubia,Cercomela dubia,,Carnivore,Invertivore,Invertivore sally ground
Cercomela_familiaris,Cercomela familiaris,,Carnivore,Invertivore,Invertivore sally ground
Cercomela_fusca,Cercomela fusca,,Carnivore,Invertivore,Invertivore sally ground
Cercomela_melanura,Cercomela melanura,,Carnivore,Invertivore,Invertivore sally ground
Cercomela_schlegelii,Cercomela schlegelii,,Omnivore,Invertivore,Invertivore sally ground
Cercomela_scotocerca,Cercomela scotocerca,,Omnivore,Invertivore,Invertivore sally ground
Cercomela_sinuata,Cercomela sinuata,,Omnivore,Invertivore,Invertivore sally ground
Cercomela_sordida,Cercomela sordida,,Carnivore,Invertivore,Invertivore sally ground
Cercomela_tractrac,Cercomela tractrac,,Carnivore,Invertivore,Invertivore sally ground
Cercotrichas_podobe,Cercotrichas podobe,,Carnivore,Invertivore,Invertivore ground
Cereopsis_novaehollandiae,Cereopsis novaehollandiae,,Herbivore,Herbivore terrestrial,Herbivore ground
Cerorhinca_monocerata,Cerorhinca monocerata,,Carnivore,Aquatic predator,Aquatic dive
Certhia_americana,Certhia americana,,Carnivore,Invertivore,Invertivore bark
Certhia_brachydactyla,Certhia brachydactyla,,Carnivore,Invertivore,Invertivore bark
Certhia_discolor,Certhia discolor,,Carnivore,Invertivore,Invertivore bark
Certhia_familiaris,Certhia familiaris,,Omnivore,Invertivore,Invertivore bark
Certhia_himalayana,Certhia himalayana,,Carnivore,Invertivore,Invertivore bark
Certhia_hodgsoni,Certhia hodgsoni,,Carnivore,Invertivore,Invertivore bark
Certhia_manipurensis,Certhia manipurensis,,Carnivore,Invertivore,Invertivore bark
Certhia_nipalensis,Certhia nipalensis,,Carnivore,Invertivore,Invertivore bark
Certhia_tianquanensis,Certhia tianquanensis,,Omnivore,Invertivore,Invertivore bark
Certhiaxis_cinnamomeus,Certhiaxis cinnamomeus,,Carnivore,Invertivore,Invertivore glean arboreal
Certhiaxis_mustelinus,Certhiaxis mustelinus,,Carnivore,Invertivore,Invertivore glean arboreal
Certhidea_olivacea,Certhidea olivacea,,Carnivore,Invertivore,Invertivore glean arboreal
Certhilauda_albescens,Certhilauda albescens,,Omnivore,Invertivore,Invertivore ground
Certhilauda_barlowi,Certhilauda barlowi,,Omnivore,Omnivore,NA
Certhilauda_burra,Certhilauda burra,,Omnivore,Omnivore,NA
Certhilauda_chuana,Certhilauda chuana,,Omnivore,Omnivore,NA
Certhilauda_curvirostris,Certhilauda curvirostris,,Carnivore,Invertivore,Invertivore ground
Certhilauda_erythrochlamys,Certhilauda erythrochlamys,,Omnivore,Omnivore,NA
Certhilauda_semitorquata,Certhilauda semitorquata,,Carnivore,Invertivore,Invertivore ground
Certhilauda_subcoronata,Certhilauda subcoronata,,Omnivore,Omnivore,NA
Certhionyx_niger,Certhionyx niger,,Omnivore,Nectarivore,Nectarivore glean
Certhionyx_pectoralis,Certhionyx pectoralis,,Herbivore,Nectarivore,Nectarivore glean
Certhionyx_variegatus,Certhionyx variegatus,,Herbivore,Nectarivore,Nectarivore glean
Ceryle_rudis,Ceryle rudis,,Carnivore,Aquatic predator,Aquatic perch
Cettia_acanthizoides,Cettia acanthizoides,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_annae,Cettia annae,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_brunnescens,Cettia brunnescens,,Carnivore,Invertivore,Generalist
Cettia_brunnifrons,Cettia brunnifrons,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_canturians,Cettia canturians,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_carolinae,Cettia carolinae,,Carnivore,Invertivore,Generalist
Cettia_cetti,Cettia cetti,,Carnivore,Invertivore,Generalist
Cettia_diphone,Cettia diphone,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_flavolivacea,Cettia flavolivacea,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_fortipes,Cettia fortipes,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_haddeni,Cettia haddeni,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_major,Cettia major,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_pallidipes,Cettia pallidipes,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_parens,Cettia parens,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_ruficapilla,Cettia ruficapilla,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_seebohmi,Cettia seebohmi,,Carnivore,Invertivore,Invertivore glean arboreal
Cettia_vulcania,Cettia vulcania,,Carnivore,Invertivore,Invertivore glean arboreal
Ceuthmochares_aereus,Ceuthmochares aereus,,Carnivore,Invertivore,Invertivore glean arboreal
Ceyx_erithaca,Ceyx erithaca,,Carnivore,Invertivore,Invertivore sally ground
Ceyx_fallax,Ceyx fallax,,Carnivore,Invertivore,Invertivore sally ground
Ceyx_lecontei,Ceyx lecontei,,Carnivore,Invertivore,Invertivore sally ground
Ceyx_lepidus,Ceyx lepidus,,Carnivore,Invertivore,Invertivore sally ground
Ceyx_madagascariensis,Ceyx madagascariensis,,Carnivore,Vertivore,Vertivore perch
Ceyx_melanurus,Ceyx melanurus,,Carnivore,Omnivore,NA
Ceyx_pictus,Ceyx pictus,,Carnivore,Invertivore,Invertivore sally ground
Ceyx_rufidorsa,Ceyx rufidorsa,,Carnivore,Invertivore,Generalist
Chaetocercus_astreans,Chaetocercus astreans,,Herbivore,Nectarivore,Nectarivore aerial
Chaetocercus_berlepschi,Chaetocercus berlepschi,,Herbivore,Nectarivore,Nectarivore aerial
Chaetocercus_bombus,Chaetocercus bombus,,Herbivore,Nectarivore,Nectarivore aerial
Chaetocercus_heliodor,Chaetocercus heliodor,,Herbivore,Nectarivore,Nectarivore aerial
Chaetocercus_jourdanii,Chaetocercus jourdanii,,Herbivore,Nectarivore,Nectarivore aerial
Chaetocercus_mulsant,Chaetocercus mulsant,,Herbivore,Nectarivore,Nectarivore aerial
Chaetops_aurantius,Chaetops aurantius,,Carnivore,Invertivore,Invertivore ground
Chaetops_frenatus,Chaetops frenatus,,Carnivore,Invertivore,Invertivore ground
Chaetorhynchus_papuensis,Chaetorhynchus papuensis,,Carnivore,Invertivore,Invertivore sally air
Chaetornis_striata,Chaetornis striata,,Carnivore,Invertivore,Invertivore glean arboreal
Chaetura_brachyura,Chaetura brachyura,,Carnivore,Invertivore,Invertivore aerial
Chaetura_chapmani,Chaetura chapmani,,Carnivore,Invertivore,Invertivore aerial
