species,sci_name,popest,popestlci,popestuci,first_year_popest,last_year_popest,migrate,Breeding.Biome,Winter.Biome
Northern Flicker,Colaptes auratus,10997056,10030079,12029437,2006,2015,M,Forest Generalist,Widespread
Northern Fulmar,Fulmarus glacialis,2200000,1650000,2750000,2009,2011,M,Coasts,Marine
Northern Gannet,Morus bassanus,144596,130136,159056,1998,2000,M,Coasts,Marine
Northern Goshawk,Accipiter gentilis,205103,144935,279609,2006,2015,M,Forest Generalist,Temperate North America
Northern Harrier,Circus hudsonius,822326,731377,921329,2006,2015,M,Habitat Generalist,Temperate North America
Northern Mockingbird,Mimus polyglottos,33748673,30589410,37047818,2006,2015,M,Habitat Generalist,Temperate North America
Northern Parula,Setophaga americana,18173930,16508547,19946040,2006,2015,M,Forest Generalist,Caribbean
Northern Pintail,Anas acuta,3021200,2644500,3397900,2013,2017,M,Wetland,Temperate North America
Northern Pygmy-Owl,Glaucidium gnoma,129397,77555,214434,2006,2015,R,Western Forest,Temperate North America
Northern Rough-winged Swallow,Stelgidopteryx serripennis,19956056,15363114,26977637,2006,2015,M,Habitat Generalist,Widespread
Northern Saw-whet Owl,Aegolius acadicus,2000000,500000,3500000,2007,2009,M,Forest Generalist,Temperate North America
Northern Shoveler,Spatula clypeata,4548300,4125700,4970800,2013,2017,M,Wetland,Temperate North America
Northern Shrike,Lanius borealis,400000,100000,700000,2003,2005,M,Arctic Tundra,Temperate North America
Northern Waterthrush,Parkesia noveboracensis,17166584,14259921,20524318,2006,2015,M,Boreal Forest,Widespread Neotropical
Northwestern Crow,Corvus caurinus,701805,421865,1111796,2006,2015,R,Western Forest,Temperate North America
Nuttall's Woodpecker,Dryobates nuttallii,752044,500760,1076906,2006,2015,R,Western Forest,Temperate North America
Oak Titmouse,Baeolophus inornatus,706717,407725,1196605,2006,2015,R,Western Forest,Temperate North America
Olive-sided Flycatcher,Contopus cooperi,1916763,1576589,2322865,2006,2015,M,Forest Generalist,South America
Olive Sparrow,Arremonops rufivirgatus,829024,486176,1252969,2006,2015,R,Aridlands,Mexico-Central America
Orange-crowned Warbler,Oreothlypis celata,81919229,69421324,95720231,2006,2015,M,Forest Generalist,Temperate North America
Orchard Oriole,Icterus spurius,10894813,9896563,11930180,2006,2015,M,Eastern Forest,Mexico-Central America
Osprey,Pandion haliaetus,399228,328092,483403,2006,2015,M,Wetland,Widespread
Ovenbird,Seiurus aurocapilla,26312390,22777813,30231156,2006,2015,M,Eastern Forest,Widespread Neotropical
Pacific-slope Flycatcher,Empidonax difficilis,8585203,6751118,10839307,2006,2015,M,Western Forest,Mexico-Central America
Pacific Golden-Plover,Pluvialis fulva,42500,35000,50000,2011,2013,M,Arctic Tundra,Coastal
Pacific Wren,Troglodytes pacificus,7528567,5392359,10095516,2006,2015,M,Western Forest,Temperate North America
Painted Bunting,Passerina ciris,12778114,10848520,14991104,2006,2015,M,Eastern Forest,Mexico-Central America
Palm Warbler,Setophaga palmarum,13172938,9852145,17350184,2006,2015,M,Boreal Forest,Caribbean
Pectoral Sandpiper,Calidris melanotos,1600000,1129600,2070400,2011,2013,M,Arctic Tundra,South America
Pelagic Cormorant,Phalacrocorax pelagicus,135000,67500,202500,1989,1991,M,Coasts,Coastal
Peregrine Falcon,Falco peregrinus,40000,20000,60000,2001,2003,M,Habitat Generalist,Widespread
Phainopepla,Phainopepla nitens,1285683,905747,1775051,2006,2015,M,Aridlands,Southwestern Aridlands
Philadelphia Vireo,Vireo philadelphicus,3968582,3039944,5019728,2006,2015,M,Boreal Forest,Mexico-Central America
Pied-billed Grebe,Podilymbus podiceps,1138963,905996,1412585,2006,2015,M,Wetland,Widespread
Pigeon Guillemot,Cepphus columba,235100,117550,352650,1992,1994,R,Coasts,Marine
Pileated Woodpecker,Dryocopus pileatus,2648713,2398947,2931122,2006,2015,R,Eastern Forest,Temperate North America
Pine Grosbeak,Pinicola enucleator,5530332,4039601,7262401,2006,2015,M,Boreal Forest,Temperate North America
Pine Siskin,Spinus pinus,44719558,37972998,52314211,2006,2015,M,Forest Generalist,Temperate North America
Pine Warbler,Setophaga pinus,13108682,11923661,14327429,2006,2015,M,Eastern Forest,Temperate North America
Pinyon Jay,Gymnorhinus cyanocephalus,755415,525819,1068774,2006,2015,R,Western Forest,Temperate North America
Plumbeous Vireo,Vireo plumbeus,2999048,2194985,3986302,2006,2015,M,Western Forest,Mexico-Central America
Prairie Falcon,Falco mexicanus,97855,76690,121492,2006,2015,M,Aridlands,Southwestern Aridlands
Prairie Warbler,Setophaga discolor,3555356,3156416,4009433,2006,2015,M,Eastern Forest,Caribbean
Prothonotary Warbler,Protonotaria citrea,2069931,1633108,2645686,2006,2015,M,Eastern Forest,Mexico-Central America
Purple Finch,Haemorhous purpureus,6539107,5746681,7363210,2006,2015,M,Forest Generalist,Temperate North America
Purple Gallinule,Porphyrio martinicus,19522,9167,33564,2006,2015,M,Wetland,Widespread Neotropical
Purple Martin,Progne subis,8728591,7776376,9841533,2006,2015,M,Habitat Generalist,South America
Purple Sandpiper,Calidris maritima,25000,16667,37500,2011,2013,M,Arctic Tundra,Coastal
Pygmy Nuthatch,Sitta pygmaea,3103791,2051268,4410534,2006,2015,R,Western Forest,Temperate North America
Pyrrhuloxia,Cardinalis sinuatus,1578426,1076870,2208564,2006,2015,R,Aridlands,Southwestern Aridlands
Razorbill,Alca torda,76000,38000,114000,2000,2002,M,Coasts,Marine
Red-bellied Woodpecker,Melanerpes carolinus,15518241,14095781,16973039,2006,2015,R,Eastern Forest,Temperate North America
Red-breasted Merganser,Mergus serrator,350000,175000,525000,2004,2006,M,Arctic Tundra,Marine
Red-breasted Nuthatch,Sitta canadensis,19689413,17772520,21658078,2006,2015,M,Forest Generalist,Temperate North America
Red-breasted Sapsucker,Sphyrapicus ruber,2755899,1872219,3799342,2006,2015,M,Western Forest,Temperate North America
Red-cockaded Woodpecker,Dryobates borealis,15000,11250,18750,2005,2007,R,Eastern Forest,Temperate North America
Red-eyed Vireo,Vireo olivaceus,130756817,121405110,141235333,2006,2015,M,Forest Generalist,South America
Red-faced Cormorant,Phalacrocorax urile,84500,42250,126750,1992,1994,R,Coasts,Coastal
Red-faced Warbler,Cardellina rubrifrons,252600,70739,503841,2006,2015,M,Western Forest,Mexico-Central America
Red-headed Woodpecker,Melanerpes erythrocephalus,1802639,1587954,2066531,2006,2015,M,Eastern Forest,Temperate North America
Red-naped Sapsucker,Sphyrapicus nuchalis,1974818,1596661,2425112,2006,2015,M,Western Forest,Temperate North America
Red-necked Grebe,Podiceps grisegena,737518,482463,1054730,2006,2015,M,Wetland,Marine
Red-shouldered Hawk,Buteo lineatus,1827010,1607481,2085341,2006,2015,M,Forest Generalist,Temperate North America
Red-tailed Hawk,Buteo jamaicensis,2808115,2579824,3052334,2006,2015,M,Habitat Generalist,Widespread
Red-throated Loon,Gavia stellata,358396,96811,792502,2006,2015,M,Arctic Tundra,Marine
Red-winged Blackbird,Agelaius phoeniceus,172973570,154908749,196698929,2006,2015,M,Habitat Generalist,Temperate North America
Red Crossbill,Loxia curvirostra,9585953,7856459,11542746,2006,2015,M,Forest Generalist,Temperate North America
Red Knot,Calidris canutus,139000,107715,196500,2011,2013,M,Arctic Tundra,Coastal
Reddish Egret,Egretta rufescens,4000,3600,4400,1995,1997,M,Coasts,Coastal
Redhead,Aythya americana,1216200,1022900,1409500,2013,2017,M,Wetland,Temperate North America
Rhinoceros Auklet,Cerorhinca monocerata,900000,450000,1350000,1997,1999,M,Coasts,Marine
Ring-billed Gull,Larus delawarensis,3740458,2828976,4916343,2006,2015,M,Wetland,Temperate North America
Ring-necked Duck,Aythya collaris,527400,370400,684300,2013,2017,M,Wetland,Temperate North America
Ring-necked Pheasant,Phasianus colchicus,16642331,14252196,19372599,2006,2015,Introduced,Introduced,Introduced
